,episode reward,episode,Method
0,-102.93661567809087,1,IIFDS-PPO
1,-101.06232042572996,2,IIFDS-PPO
2,-99.02883118162188,3,IIFDS-PPO
3,-96.88372321162464,4,IIFDS-PPO
4,-95.72777197832242,5,IIFDS-PPO
5,-93.33051338395657,6,IIFDS-PPO
6,-90.45302494899627,7,IIFDS-PPO
7,-89.04040791066971,8,IIFDS-PPO
8,-85.71752133266628,9,IIFDS-PPO
9,-81.02299639833409,10,IIFDS-PPO
10,-76.94868749201191,11,IIFDS-PPO
11,-74.04547083561168,12,IIFDS-PPO
12,-69.53054691257725,13,IIFDS-PPO
13,-67.42659292542665,14,IIFDS-PPO
14,-66.20231687417018,15,IIFDS-PPO
15,-65.22120649791947,16,IIFDS-PPO
16,-64.13711671287832,17,IIFDS-PPO
17,-63.15515875444603,18,IIFDS-PPO
18,-62.07863255268568,19,IIFDS-PPO
19,-61.73173882179458,20,IIFDS-PPO
20,-61.458843445294285,21,IIFDS-PPO
21,-61.29957289392824,22,IIFDS-PPO
22,-61.55378893189455,23,IIFDS-PPO
23,-71.58630867109592,24,IIFDS-PPO
24,-78.1284851325244,25,IIFDS-PPO
25,-82.69583322317983,26,IIFDS-PPO
26,-95.35123961253063,27,IIFDS-PPO
27,-96.90967306126173,28,IIFDS-PPO
28,-91.63421169979378,29,IIFDS-PPO
29,-86.79330716153042,30,IIFDS-PPO
30,-83.19370718668958,31,IIFDS-PPO
31,-82.7614935454724,32,IIFDS-PPO
32,-82.21517793818916,33,IIFDS-PPO
33,-79.40893026593204,34,IIFDS-PPO
34,-88.47386320083399,35,IIFDS-PPO
35,-101.03975414519657,36,IIFDS-PPO
36,-101.46792303679176,37,IIFDS-PPO
37,-111.27012182129707,38,IIFDS-PPO
38,-120.80080372428726,39,IIFDS-PPO
39,-125.97974354063317,40,IIFDS-PPO
40,-112.56761948212493,41,IIFDS-PPO
41,-99.59533213727755,42,IIFDS-PPO
42,-88.6085868816444,43,IIFDS-PPO
43,-78.54505426644134,44,IIFDS-PPO
44,-63.03520288876111,45,IIFDS-PPO
45,-65.62824169512089,46,IIFDS-PPO
46,-66.16307894444387,47,IIFDS-PPO
47,-64.71378951681388,48,IIFDS-PPO
48,-63.97186734976735,49,IIFDS-PPO
49,-66.27429070282074,50,IIFDS-PPO
50,-65.07695552380757,51,IIFDS-PPO
51,-64.69802694127723,52,IIFDS-PPO
52,-66.23757692344228,53,IIFDS-PPO
53,-65.58444810047575,54,IIFDS-PPO
54,-61.80148008361277,55,IIFDS-PPO
55,-60.37308698281504,56,IIFDS-PPO
56,-59.663261438990205,57,IIFDS-PPO
57,-59.6099392806814,58,IIFDS-PPO
58,-59.46393231558008,59,IIFDS-PPO
59,-59.454146771068245,60,IIFDS-PPO
60,-59.83958106071388,61,IIFDS-PPO
61,-62.274108005537116,62,IIFDS-PPO
62,-62.807910239542075,63,IIFDS-PPO
63,-64.36944026488989,64,IIFDS-PPO
64,-65.16079124295037,65,IIFDS-PPO
65,-63.83603742442728,66,IIFDS-PPO
66,-69.98364722443749,67,IIFDS-PPO
67,-69.54665484770395,68,IIFDS-PPO
68,-70.91839153819292,69,IIFDS-PPO
69,-82.5377903974406,70,IIFDS-PPO
70,-85.61227118235821,71,IIFDS-PPO
71,-89.95985026351023,72,IIFDS-PPO
72,-93.10866107477358,73,IIFDS-PPO
73,-99.47046679410722,74,IIFDS-PPO
74,-95.93894262201842,75,IIFDS-PPO
75,-107.15801654707406,76,IIFDS-PPO
76,-97.58569851817353,77,IIFDS-PPO
77,-94.61019429816936,78,IIFDS-PPO
78,-86.00245450726825,79,IIFDS-PPO
79,-80.0954917632648,80,IIFDS-PPO
80,-67.75396768944897,81,IIFDS-PPO
81,-64.81550841339777,82,IIFDS-PPO
82,-64.60597479289778,83,IIFDS-PPO
83,-64.45839110108396,84,IIFDS-PPO
84,-64.0689208549345,85,IIFDS-PPO
85,-62.14159079928886,86,IIFDS-PPO
86,-62.85806085986784,87,IIFDS-PPO
87,-62.34319618592302,88,IIFDS-PPO
88,-61.19552723943595,89,IIFDS-PPO
89,-59.40846373257258,90,IIFDS-PPO
90,-59.437332617423,91,IIFDS-PPO
91,-58.01699634656368,92,IIFDS-PPO
92,-57.96449968813831,93,IIFDS-PPO
93,-58.11534222467112,94,IIFDS-PPO
94,-57.78633671541072,95,IIFDS-PPO
95,-57.36327953037119,96,IIFDS-PPO
96,-57.34694956982718,97,IIFDS-PPO
97,-56.98908210915564,98,IIFDS-PPO
98,-56.567713998659045,99,IIFDS-PPO
99,-56.002659043078864,100,IIFDS-PPO
100,-56.83782544730691,101,IIFDS-PPO
101,-57.38642409226736,102,IIFDS-PPO
102,-57.333951798453036,103,IIFDS-PPO
103,-58.326553837973,104,IIFDS-PPO
104,-58.765721050403464,105,IIFDS-PPO
105,-58.260963758004806,106,IIFDS-PPO
106,-58.27631740317505,107,IIFDS-PPO
107,-58.25737972648817,108,IIFDS-PPO
108,-57.50282789113555,109,IIFDS-PPO
109,-57.13899039393935,110,IIFDS-PPO
110,-56.67822727408728,111,IIFDS-PPO
111,-56.17404452312307,112,IIFDS-PPO
112,-56.187216143924076,113,IIFDS-PPO
113,-56.78197671467757,114,IIFDS-PPO
114,-56.21123255482151,115,IIFDS-PPO
115,-56.01715425829603,116,IIFDS-PPO
116,-56.1395291225525,117,IIFDS-PPO
117,-55.94624607876508,118,IIFDS-PPO
118,-56.44771666239245,119,IIFDS-PPO
119,-56.88356285859486,120,IIFDS-PPO
120,-69.42355213960286,121,IIFDS-PPO
121,-69.9350508145491,122,IIFDS-PPO
122,-70.54459324019098,123,IIFDS-PPO
123,-69.56319005807677,124,IIFDS-PPO
124,-71.46269789947513,125,IIFDS-PPO
125,-59.951782158432046,126,IIFDS-PPO
126,-60.00271596127318,127,IIFDS-PPO
127,-59.46077209101575,128,IIFDS-PPO
128,-60.09356935499353,129,IIFDS-PPO
129,-58.84089791038897,130,IIFDS-PPO
130,-65.45503955951501,131,IIFDS-PPO
131,-65.47841334345547,132,IIFDS-PPO
132,-66.05318032564921,133,IIFDS-PPO
133,-66.80745378719678,134,IIFDS-PPO
134,-66.70693678889201,135,IIFDS-PPO
135,-65.47400851758718,136,IIFDS-PPO
136,-79.11522694179689,137,IIFDS-PPO
137,-81.82015242823661,138,IIFDS-PPO
138,-83.60322135744941,139,IIFDS-PPO
139,-85.21967094067362,140,IIFDS-PPO
140,-80.37856224725917,141,IIFDS-PPO
141,-68.08529411084578,142,IIFDS-PPO
142,-66.17782420301414,143,IIFDS-PPO
143,-65.77434421577797,144,IIFDS-PPO
144,-74.52256100134944,145,IIFDS-PPO
145,-76.06493920503249,146,IIFDS-PPO
146,-79.11318165202401,147,IIFDS-PPO
147,-79.59978167839313,148,IIFDS-PPO
148,-72.10049519707876,149,IIFDS-PPO
149,-65.92578933652935,150,IIFDS-PPO
150,-103.30552036586639,1,IIFDS-PPO-Modify
151,-100.93896816846602,2,IIFDS-PPO-Modify
152,-98.05278503863543,3,IIFDS-PPO-Modify
153,-96.03174075579919,4,IIFDS-PPO-Modify
154,-94.76628072639092,5,IIFDS-PPO-Modify
155,-92.56589248958552,6,IIFDS-PPO-Modify
156,-89.75165210598382,7,IIFDS-PPO-Modify
157,-88.42537269084639,8,IIFDS-PPO-Modify
158,-84.79564826142844,9,IIFDS-PPO-Modify
159,-80.26098661834321,10,IIFDS-PPO-Modify
160,-76.17187149107379,11,IIFDS-PPO-Modify
161,-72.73999462980746,12,IIFDS-PPO-Modify
162,-68.76310085953037,13,IIFDS-PPO-Modify
163,-66.23610440128962,14,IIFDS-PPO-Modify
164,-64.54998096871985,15,IIFDS-PPO-Modify
