,episode reward,episode,Method
0,-83.01644168577339,1,IIFDS-TD3
1,-82.15518836245292,2,IIFDS-TD3
2,-81.78005912237803,3,IIFDS-TD3
3,-81.85427087579622,4,IIFDS-TD3
4,-81.1525551671264,5,IIFDS-TD3
5,-81.45187989118224,6,IIFDS-TD3
6,-81.3245555951346,7,IIFDS-TD3
7,-81.7011423681064,8,IIFDS-TD3
8,-81.36804813973039,9,IIFDS-TD3
9,-81.02270713367277,10,IIFDS-TD3
10,-80.39659220570367,11,IIFDS-TD3
11,-81.10776760458533,12,IIFDS-TD3
12,-81.01694324088052,13,IIFDS-TD3
13,-80.38132860238382,14,IIFDS-TD3
14,-80.31424451779715,15,IIFDS-TD3
15,-80.60170867481409,16,IIFDS-TD3
16,-80.9805000205333,17,IIFDS-TD3
17,-81.53953086391572,18,IIFDS-TD3
18,-81.49861427287041,19,IIFDS-TD3
19,-80.96996081026988,20,IIFDS-TD3
20,-81.72805107976296,21,IIFDS-TD3
21,-81.75480771565923,22,IIFDS-TD3
22,-81.65883244178247,23,IIFDS-TD3
23,-81.0377540120916,24,IIFDS-TD3
24,-81.00294103800135,25,IIFDS-TD3
25,-80.5159946867079,26,IIFDS-TD3
26,-80.51947752547449,27,IIFDS-TD3
27,-79.2167836170204,28,IIFDS-TD3
28,-77.53436442302647,29,IIFDS-TD3
29,-75.21764319405922,30,IIFDS-TD3
30,-74.6856024959288,31,IIFDS-TD3
31,-74.657960393349,32,IIFDS-TD3
32,-74.7929266666139,33,IIFDS-TD3
33,-73.79305055953753,34,IIFDS-TD3
34,-73.43890149809131,35,IIFDS-TD3
35,-71.72653513170754,36,IIFDS-TD3
36,-71.35801929813769,37,IIFDS-TD3
37,-69.85879616018772,38,IIFDS-TD3
38,-67.47373930126295,39,IIFDS-TD3
39,-65.6591597181072,40,IIFDS-TD3
40,-64.26809556319071,41,IIFDS-TD3
41,-64.34914131703229,42,IIFDS-TD3
42,-66.68242447073781,43,IIFDS-TD3
43,-68.36342876836922,44,IIFDS-TD3
44,-70.26934537640385,45,IIFDS-TD3
45,-71.58291736108781,46,IIFDS-TD3
46,-70.92632651102069,47,IIFDS-TD3
47,-70.80882068928646,48,IIFDS-TD3
48,-69.29562581551164,49,IIFDS-TD3
49,-67.43280228671257,50,IIFDS-TD3
50,-65.250186431976,51,IIFDS-TD3
51,-62.71958537388086,52,IIFDS-TD3
52,-60.631108834031416,53,IIFDS-TD3
53,-60.02082581947218,54,IIFDS-TD3
54,-59.949077393954326,55,IIFDS-TD3
55,-59.62003512831719,56,IIFDS-TD3
56,-59.24554963426876,57,IIFDS-TD3
57,-58.67838844512098,58,IIFDS-TD3
58,-58.63949986592029,59,IIFDS-TD3
59,-58.327985001665624,60,IIFDS-TD3
60,-58.214633501968365,61,IIFDS-TD3
61,-57.98168342913137,62,IIFDS-TD3
62,-57.56133975378113,63,IIFDS-TD3
63,-57.11543730327877,64,IIFDS-TD3
64,-57.944360982730906,65,IIFDS-TD3
65,-57.69262550907497,66,IIFDS-TD3
66,-58.00473160386186,67,IIFDS-TD3
67,-58.014686989723415,68,IIFDS-TD3
68,-58.06545981486374,69,IIFDS-TD3
69,-58.58415102199249,70,IIFDS-TD3
70,-59.5747993961047,71,IIFDS-TD3
71,-59.09815433450631,72,IIFDS-TD3
72,-57.8076825888545,73,IIFDS-TD3
73,-57.718816566261076,74,IIFDS-TD3
74,-58.07400626192627,75,IIFDS-TD3
75,-57.99657664262146,76,IIFDS-TD3
76,-57.74949288399727,77,IIFDS-TD3
77,-57.09201649823414,78,IIFDS-TD3
78,-56.93106562279684,79,IIFDS-TD3
79,-58.2792721928668,80,IIFDS-TD3
80,-58.455654087204046,81,IIFDS-TD3
81,-58.46017693447867,82,IIFDS-TD3
82,-58.518796169714115,83,IIFDS-TD3
83,-59.12383676336359,84,IIFDS-TD3
84,-59.36710915611541,85,IIFDS-TD3
85,-59.1257603097912,86,IIFDS-TD3
86,-58.88985278737873,87,IIFDS-TD3
87,-58.32238942074992,88,IIFDS-TD3
88,-58.04027882985689,89,IIFDS-TD3
89,-58.133107075409825,90,IIFDS-TD3
90,-58.22062321435683,91,IIFDS-TD3
91,-58.35241179288604,92,IIFDS-TD3
92,-59.09503540960339,93,IIFDS-TD3
93,-59.998170485515,94,IIFDS-TD3
94,-60.604534364093176,95,IIFDS-TD3
95,-60.270852814983286,96,IIFDS-TD3
96,-60.265787886437565,97,IIFDS-TD3
97,-59.24781545100192,98,IIFDS-TD3
98,-58.65729094545306,99,IIFDS-TD3
99,-58.15014598652647,100,IIFDS-TD3
100,-57.54185806829002,101,IIFDS-TD3
101,-56.221552688595104,102,IIFDS-TD3
102,-56.50042651559425,103,IIFDS-TD3
103,-55.79541868303585,104,IIFDS-TD3
104,-56.2333498426069,105,IIFDS-TD3
105,-56.5768957564299,106,IIFDS-TD3
106,-56.370527193519756,107,IIFDS-TD3
107,-56.498288817152705,108,IIFDS-TD3
108,-57.746733102367266,109,IIFDS-TD3
109,-58.17111014536748,110,IIFDS-TD3
110,-58.48840707661607,111,IIFDS-TD3
111,-58.512927775166744,112,IIFDS-TD3
112,-58.31974804269106,113,IIFDS-TD3
113,-58.37362792382389,114,IIFDS-TD3
114,-57.74038988458149,115,IIFDS-TD3
115,-57.81247094013711,116,IIFDS-TD3
116,-56.97216826713765,117,IIFDS-TD3
117,-57.07003898249447,118,IIFDS-TD3
118,-56.73993340960666,119,IIFDS-TD3
119,-56.664888862292095,120,IIFDS-TD3
120,-57.72370908779323,121,IIFDS-TD3
121,-58.806834842908756,122,IIFDS-TD3
122,-58.810816851137425,123,IIFDS-TD3
123,-59.11865247755172,124,IIFDS-TD3
124,-59.658707350435215,125,IIFDS-TD3
125,-60.383669031566335,126,IIFDS-TD3
126,-61.86467436399654,127,IIFDS-TD3
127,-61.22251655962071,128,IIFDS-TD3
128,-60.858083785992655,129,IIFDS-TD3
129,-59.85053461933173,130,IIFDS-TD3
130,-59.43542655246588,131,IIFDS-TD3
131,-58.960834240663665,132,IIFDS-TD3
132,-58.75161500624933,133,IIFDS-TD3
133,-57.55319775155682,134,IIFDS-TD3
134,-57.49768560933587,135,IIFDS-TD3
135,-55.88503146237549,136,IIFDS-TD3
136,-56.51484611631385,137,IIFDS-TD3
137,-56.01882049056398,138,IIFDS-TD3
138,-56.00850021712133,139,IIFDS-TD3
139,-55.87758299136611,140,IIFDS-TD3
140,-56.19333503108544,141,IIFDS-TD3
141,-56.234458151216735,142,IIFDS-TD3
142,-57.700943413528,143,IIFDS-TD3
143,-56.44978240946047,144,IIFDS-TD3
144,-56.98382808150568,145,IIFDS-TD3
145,-57.29128467738828,146,IIFDS-TD3
146,-57.2571526683785,147,IIFDS-TD3
147,-57.07306127849556,148,IIFDS-TD3
148,-57.12639557304822,149,IIFDS-TD3
