,episode reward,episode,Method
0,-50.76969275378025,1,Fully Centralized DDPG
1,-49.216637027866675,2,Fully Centralized DDPG
2,-49.517434927228564,3,Fully Centralized DDPG
3,-49.05685464485021,4,Fully Centralized DDPG
4,-48.72277831483921,5,Fully Centralized DDPG
5,-49.13216513267021,6,Fully Centralized DDPG
6,-48.77542440548636,7,Fully Centralized DDPG
7,-49.06598463703326,8,Fully Centralized DDPG
8,-47.831664075240305,9,Fully Centralized DDPG
9,-47.40282185469591,10,Fully Centralized DDPG
10,-48.12307913463852,11,Fully Centralized DDPG
11,-47.89978429801578,12,Fully Centralized DDPG
12,-48.00509462704604,13,Fully Centralized DDPG
13,-47.93265713133617,14,Fully Centralized DDPG
14,-48.16105067863615,15,Fully Centralized DDPG
15,-48.25709669646225,16,Fully Centralized DDPG
16,-48.829273642388486,17,Fully Centralized DDPG
17,-48.48307394645658,18,Fully Centralized DDPG
18,-49.095414403000476,19,Fully Centralized DDPG
19,-48.615938661597816,20,Fully Centralized DDPG
20,-48.64639754864682,21,Fully Centralized DDPG
21,-48.22583338732067,22,Fully Centralized DDPG
22,-48.40469255838335,23,Fully Centralized DDPG
23,-47.78927925081065,24,Fully Centralized DDPG
24,-47.09280572348913,25,Fully Centralized DDPG
25,-46.63415266180669,26,Fully Centralized DDPG
26,-46.30378267892178,27,Fully Centralized DDPG
27,-46.14302070477958,28,Fully Centralized DDPG
28,-46.2533535983718,29,Fully Centralized DDPG
29,-46.29048102778326,30,Fully Centralized DDPG
30,-46.5271811113275,31,Fully Centralized DDPG
31,-46.905327690664045,32,Fully Centralized DDPG
32,-47.09853753226228,33,Fully Centralized DDPG
33,-47.75000853731076,34,Fully Centralized DDPG
34,-48.009319652930024,35,Fully Centralized DDPG
35,-47.873371156476665,36,Fully Centralized DDPG
36,-48.024932432207514,37,Fully Centralized DDPG
37,-48.21598559603746,38,Fully Centralized DDPG
38,-48.55340237024133,39,Fully Centralized DDPG
39,-48.524552958101744,40,Fully Centralized DDPG
40,-48.299683758492826,41,Fully Centralized DDPG
41,-48.20559362152104,42,Fully Centralized DDPG
42,-48.36011150304739,43,Fully Centralized DDPG
43,-48.27561812581841,44,Fully Centralized DDPG
44,-47.88575627981231,45,Fully Centralized DDPG
45,-47.67323983107644,46,Fully Centralized DDPG
46,-47.41113872980384,47,Fully Centralized DDPG
47,-47.27592419668703,48,Fully Centralized DDPG
48,-47.29443584521727,49,Fully Centralized DDPG
49,-46.80406100493493,50,Fully Centralized DDPG
50,-46.713536817692365,51,Fully Centralized DDPG
51,-47.015804643179145,52,Fully Centralized DDPG
52,-46.858072625207576,53,Fully Centralized DDPG
53,-46.9064106374943,54,Fully Centralized DDPG
54,-47.069631424930016,55,Fully Centralized DDPG
55,-47.08153036311618,56,Fully Centralized DDPG
56,-47.56283786901901,57,Fully Centralized DDPG
57,-47.64455771714022,58,Fully Centralized DDPG
58,-47.2087001732645,59,Fully Centralized DDPG
59,-47.39908339150518,60,Fully Centralized DDPG
60,-47.34268797053046,61,Fully Centralized DDPG
61,-47.15418687709503,62,Fully Centralized DDPG
62,-47.24590273948537,63,Fully Centralized DDPG
63,-46.899279042857096,64,Fully Centralized DDPG
64,-46.830266849258756,65,Fully Centralized DDPG
65,-47.110808219001946,66,Fully Centralized DDPG
66,-47.03711885599862,67,Fully Centralized DDPG
67,-47.06947211248986,68,Fully Centralized DDPG
68,-47.134198801251465,69,Fully Centralized DDPG
69,-46.804698896942604,70,Fully Centralized DDPG
70,-47.07682741377488,71,Fully Centralized DDPG
71,-47.06746114953538,72,Fully Centralized DDPG
72,-47.13420283731504,73,Fully Centralized DDPG
73,-47.096143296846535,74,Fully Centralized DDPG
74,-46.90370320004505,75,Fully Centralized DDPG
75,-46.85603536155045,76,Fully Centralized DDPG
76,-47.129582149184685,77,Fully Centralized DDPG
77,-47.11692712815451,78,Fully Centralized DDPG
78,-46.703061904559526,79,Fully Centralized DDPG
79,-46.585462212981646,80,Fully Centralized DDPG
80,-46.27012332868464,81,Fully Centralized DDPG
81,-46.47967408707277,82,Fully Centralized DDPG
82,-46.463468515812174,83,Fully Centralized DDPG
83,-46.53874935591445,84,Fully Centralized DDPG
84,-46.57759423181478,85,Fully Centralized DDPG
85,-46.992637011724604,86,Fully Centralized DDPG
86,-46.90113078522569,87,Fully Centralized DDPG
87,-47.198028297710344,88,Fully Centralized DDPG
88,-47.09151380077067,89,Fully Centralized DDPG
89,-47.1265686711595,90,Fully Centralized DDPG
90,-47.045397151430564,91,Fully Centralized DDPG
91,-47.020472705565844,92,Fully Centralized DDPG
92,-46.861778742476886,93,Fully Centralized DDPG
93,-47.023000442609764,94,Fully Centralized DDPG
94,-47.10193556062906,95,Fully Centralized DDPG
95,-46.933521871539035,96,Fully Centralized DDPG
96,-47.075811103663696,97,Fully Centralized DDPG
97,-46.98786285584406,98,Fully Centralized DDPG
98,-47.14360218957835,99,Fully Centralized DDPG
99,-47.298890958695495,100,Fully Centralized DDPG
100,-48.201834872769496,101,Fully Centralized DDPG
101,-48.7061685346002,102,Fully Centralized DDPG
102,-49.6166394406021,103,Fully Centralized DDPG
103,-50.078904872212206,104,Fully Centralized DDPG
104,-50.86562918010816,105,Fully Centralized DDPG
105,-51.389667206159494,106,Fully Centralized DDPG
106,-52.50690674343485,107,Fully Centralized DDPG
107,-52.290268052378046,108,Fully Centralized DDPG
108,-52.35962863167437,109,Fully Centralized DDPG
109,-52.25529357474544,110,Fully Centralized DDPG
110,-52.22389541008825,111,Fully Centralized DDPG
111,-52.048084998845745,112,Fully Centralized DDPG
112,-52.062400588273434,113,Fully Centralized DDPG
113,-51.35987189715042,114,Fully Centralized DDPG
114,-51.32155973566123,115,Fully Centralized DDPG
115,-51.17061789378478,116,Fully Centralized DDPG
116,-50.914216984900875,117,Fully Centralized DDPG
117,-50.97818396651005,118,Fully Centralized DDPG
118,-51.0195061484813,119,Fully Centralized DDPG
119,-50.75282360030549,120,Fully Centralized DDPG
120,-50.817541545075336,121,Fully Centralized DDPG
121,-50.81402951816047,122,Fully Centralized DDPG
122,-50.74618466008835,123,Fully Centralized DDPG
123,-50.89469054255731,124,Fully Centralized DDPG
124,-50.68119233309464,125,Fully Centralized DDPG
125,-50.48984852613403,126,Fully Centralized DDPG
126,-50.47755013883663,127,Fully Centralized DDPG
127,-50.53734299157567,128,Fully Centralized DDPG
128,-50.26950206707081,129,Fully Centralized DDPG
129,-50.21212378432278,130,Fully Centralized DDPG
130,-50.06430224757288,131,Fully Centralized DDPG
131,-50.057653431620714,132,Fully Centralized DDPG
132,-50.01828749622195,133,Fully Centralized DDPG
133,-49.973004575073446,134,Fully Centralized DDPG
134,-49.89300153139876,135,Fully Centralized DDPG
135,-49.536237533099175,136,Fully Centralized DDPG
136,-48.756288300982725,137,Fully Centralized DDPG
137,-48.489320004143046,138,Fully Centralized DDPG
138,-48.119197805226406,139,Fully Centralized DDPG
139,-47.579076897184606,140,Fully Centralized DDPG
140,-47.28097532076203,141,Fully Centralized DDPG
141,-46.769425068575494,142,Fully Centralized DDPG
142,-46.413342509480444,143,Fully Centralized DDPG
143,-46.173913104310415,144,Fully Centralized DDPG
144,-45.60345273366754,145,Fully Centralized DDPG
145,-45.23996499390713,146,Fully Centralized DDPG
146,-44.94543737336729,147,Fully Centralized DDPG
147,-45.23132522024507,148,Fully Centralized DDPG
148,-45.40604615333533,149,Fully Centralized DDPG
149,-45.96814163563044,150,Fully Centralized DDPG
150,-46.63701188525415,151,Fully Centralized DDPG
151,-47.303531693658165,152,Fully Centralized DDPG
152,-47.48051704984298,153,Fully Centralized DDPG
153,-47.96393009255069,154,Fully Centralized DDPG
154,-47.18493644153582,155,Fully Centralized DDPG
155,-46.58628060350278,156,Fully Centralized DDPG
156,-45.78823073827797,157,Fully Centralized DDPG
157,-45.55624875299759,158,Fully Centralized DDPG
158,-44.59185801167322,159,Fully Centralized DDPG
159,-44.07171467655103,160,Fully Centralized DDPG
160,-43.73293155627183,161,Fully Centralized DDPG
161,-43.702544007019014,162,Fully Centralized DDPG
162,-43.541055048741555,163,Fully Centralized DDPG
163,-43.96667319897036,164,Fully Centralized DDPG
164,-43.930586672246186,165,Fully Centralized DDPG
165,-44.244059075859454,166,Fully Centralized DDPG
