,episode reward,episode,Method
0,-41.92,1,TD3
1,-42.693333333333335,2,TD3
2,-42.508,3,TD3
3,-42.82714285714286,4,TD3
4,-42.66857142857143,5,TD3
5,-42.63285714285714,6,TD3
6,-42.541428571428575,7,TD3
7,-42.95571428571429,8,TD3
8,-42.894285714285715,9,TD3
9,-42.715714285714284,10,TD3
10,-42.42,11,TD3
11,-42.57,12,TD3
12,-42.807142857142864,13,TD3
13,-42.814285714285724,14,TD3
14,-42.57,15,TD3
15,-42.54571428571429,16,TD3
16,-42.66285714285714,17,TD3
17,-43.14428571428572,18,TD3
18,-43.76285714285715,19,TD3
19,-43.59285714285715,20,TD3
20,-43.564285714285724,21,TD3
21,-43.43571428571429,22,TD3
22,-43.269999999999996,23,TD3
23,-43.19285714285714,24,TD3
24,-42.74571428571428,25,TD3
25,-42.00714285714285,26,TD3
26,-42.17,27,TD3
27,-42.25,28,TD3
28,-42.425714285714285,29,TD3
29,-42.81428571428571,30,TD3
30,-42.940000000000005,31,TD3
31,-43.07285714285714,32,TD3
32,-43.33714285714286,33,TD3
33,-43.07857142857143,34,TD3
34,-42.81714285714286,35,TD3
35,-43.33,36,TD3
36,-43.33571428571428,37,TD3
37,-43.36857142857143,38,TD3
38,-43.42857142857143,39,TD3
39,-43.641428571428584,40,TD3
40,-43.961428571428584,41,TD3
41,-44.28142857142858,42,TD3
42,-44.03857142857144,43,TD3
43,-43.85857142857143,44,TD3
44,-43.737142857142864,45,TD3
45,-43.52857142857143,46,TD3
46,-43.59000000000001,47,TD3
47,-43.79571428571429,48,TD3
48,-44.044285714285714,49,TD3
49,-44.14999999999999,50,TD3
50,-44.49285714285715,51,TD3
51,-44.86142857142857,52,TD3
52,-45.034285714285716,53,TD3
53,-44.817142857142855,54,TD3
54,-44.35428571428571,55,TD3
55,-44.10571428571428,56,TD3
56,-43.682857142857145,57,TD3
57,-43.34142857142857,58,TD3
58,-42.55571428571428,59,TD3
59,-42.16857142857143,60,TD3
60,-41.90285714285715,61,TD3
61,-41.71,62,TD3
62,-41.15428571428572,63,TD3
63,-40.98857142857143,64,TD3
64,-40.519999999999996,65,TD3
65,-40.388571428571424,66,TD3
66,-40.51142857142857,67,TD3
67,-40.381428571428565,68,TD3
68,-40.39857142857142,69,TD3
69,-40.71857142857143,70,TD3
70,-40.714285714285715,71,TD3
71,-40.80857142857143,72,TD3
72,-40.87428571428571,73,TD3
73,-40.791428571428575,74,TD3
74,-40.90428571428572,75,TD3
75,-40.847142857142856,76,TD3
76,-40.728571428571435,77,TD3
77,-40.51,78,TD3
78,-40.61142857142857,79,TD3
79,-40.72428571428571,80,TD3
80,-40.879999999999995,81,TD3
81,-40.91142857142857,82,TD3
82,-40.94,83,TD3
83,-40.8142857142857,84,TD3
84,-40.81714285714286,85,TD3
85,-40.94857142857143,86,TD3
86,-41.29,87,TD3
87,-41.42,88,TD3
88,-41.67285714285715,89,TD3
89,-41.69428571428572,90,TD3
90,-42.142857142857146,91,TD3
91,-42.33857142857143,92,TD3
92,-42.620000000000005,93,TD3
93,-42.605714285714285,94,TD3
94,-42.697142857142865,95,TD3
95,-42.707142857142856,96,TD3
96,-43.06285714285714,97,TD3
97,-43.392,98,TD3
98,-43.553333333333335,99,TD3
99,-44.21,100,TD3
