,episode reward,episode,Method
0,-35.39546047220894,1,MADDPG
1,-34.30388521481175,2,MADDPG
2,-35.08158244630338,3,MADDPG
3,-35.412356194159614,4,MADDPG
4,-31.167434670638407,5,MADDPG
5,-32.79241447452871,6,MADDPG
6,-35.02058228717166,7,MADDPG
7,-35.47771442703291,8,MADDPG
8,-33.964525833600234,9,MADDPG
9,-33.28231103795311,10,MADDPG
10,-34.614434852856945,11,MADDPG
11,-34.52653411918046,12,MADDPG
12,-34.658006351704614,13,MADDPG
13,-34.10390459767782,14,MADDPG
14,-33.857467376076684,15,MADDPG
15,-33.300791345645855,16,MADDPG
16,-35.911104900028015,17,MADDPG
17,-34.54865259520296,18,MADDPG
18,-34.13848743351412,19,MADDPG
19,-34.4416043960326,20,MADDPG
20,-34.59867906977173,21,MADDPG
21,-33.62510683424874,22,MADDPG
22,-36.55251325566999,23,MADDPG
23,-33.694937786177796,24,MADDPG
24,-34.05385933316488,25,MADDPG
25,-35.4660818844235,26,MADDPG
26,-35.410423645964116,27,MADDPG
27,-35.180155915588365,28,MADDPG
28,-35.86761217896456,29,MADDPG
29,-34.128126532279,30,MADDPG
30,-34.26739739668896,31,MADDPG
31,-33.84355830573912,32,MADDPG
32,-33.74301791406023,33,MADDPG
33,-38.97621646577271,34,MADDPG
34,-36.29779377677016,35,MADDPG
35,-35.11172729661558,36,MADDPG
36,-34.07093947102721,37,MADDPG
37,-35.44726046401026,38,MADDPG
38,-34.27494726483128,39,MADDPG
39,-35.7167258162388,40,MADDPG
40,-35.282768562004584,41,MADDPG
41,-34.14834570077904,42,MADDPG
42,-33.78551699680681,43,MADDPG
43,-37.030487472523085,44,MADDPG
44,-36.550310012185264,45,MADDPG
45,-35.589555187493346,46,MADDPG
46,-33.30463851855628,47,MADDPG
47,-36.09093960399201,48,MADDPG
48,-32.6954033178448,49,MADDPG
49,-34.69500512279987,50,MADDPG
50,-34.252667780604654,51,MADDPG
51,-33.504279050521184,52,MADDPG
52,-34.66669699492319,53,MADDPG
53,-35.96691915021316,54,MADDPG
54,-35.5747270019776,55,MADDPG
55,-36.57631364603104,56,MADDPG
56,-33.97724662897088,57,MADDPG
57,-34.421081256696986,58,MADDPG
58,-36.17496388327357,59,MADDPG
59,-35.78638717119955,60,MADDPG
60,-34.33429165904116,61,MADDPG
61,-35.96919321278663,62,MADDPG
62,-35.762543839533954,63,MADDPG
63,-37.69079443593499,64,MADDPG
64,-34.90974350295888,65,MADDPG
65,-32.508874725900455,66,MADDPG
66,-35.22200751607429,67,MADDPG
67,-38.37472057256967,68,MADDPG
68,-36.83175736220787,69,MADDPG
69,-41.2246388412095,70,MADDPG
70,-37.013452452999466,71,MADDPG
71,-38.41901940345887,72,MADDPG
72,-36.115878298786555,73,MADDPG
73,-39.63793266520019,74,MADDPG
74,-39.924686779521686,75,MADDPG
75,-35.1313938455569,76,MADDPG
76,-39.007310670147824,77,MADDPG
77,-40.10462367080494,78,MADDPG
78,-34.70342886501106,79,MADDPG
79,-34.331732118836335,80,MADDPG
80,-40.066353053420954,81,MADDPG
81,-38.00985905543965,82,MADDPG
82,-34.71324162073559,83,MADDPG
83,-36.407425186239614,84,MADDPG
84,-35.72316013357905,85,MADDPG
85,-36.20988730174988,86,MADDPG
86,-36.871445745461806,87,MADDPG
87,-37.7333228714186,88,MADDPG
88,-34.4784461998067,89,MADDPG
89,-36.73750895330225,90,MADDPG
90,-36.24073391112769,91,MADDPG
91,-37.3585827567805,92,MADDPG
92,-36.22043641091272,93,MADDPG
93,-33.74062425922535,94,MADDPG
94,-33.755530957794036,95,MADDPG
95,-37.081530096738035,96,MADDPG
96,-32.81794594183492,97,MADDPG
97,-35.83820651202634,98,MADDPG
98,-34.05783359071738,99,MADDPG
99,-33.47775305935461,100,MADDPG
100,-34.69849889310365,101,MADDPG
101,-35.74261402333438,102,MADDPG
102,-35.80384734355751,103,MADDPG
103,-37.30623264498375,104,MADDPG
104,-34.309214754279175,105,MADDPG
105,-36.81583156765981,106,MADDPG
106,-36.343777237254095,107,MADDPG
107,-33.14257279582753,108,MADDPG
108,-36.77256582021636,109,MADDPG
109,-37.22544064096465,110,MADDPG
110,-34.88711566948646,111,MADDPG
111,-35.575391216792596,112,MADDPG
112,-37.55160028639993,113,MADDPG
113,-36.19441422980313,114,MADDPG
114,-35.291029783515185,115,MADDPG
115,-37.59295451146411,116,MADDPG
116,-35.00833205821873,117,MADDPG
117,-38.118368732423235,118,MADDPG
118,-35.09889682812984,119,MADDPG
119,-35.792444339146265,120,MADDPG
120,-32.31582658278898,121,MADDPG
121,-35.08289520051619,122,MADDPG
122,-35.957744932579814,123,MADDPG
123,-34.0620191963245,124,MADDPG
124,-36.943736382214155,125,MADDPG
125,-37.11247076750629,126,MADDPG
126,-35.8430851674333,127,MADDPG
127,-33.617543533387426,128,MADDPG
128,-34.97337210771341,129,MADDPG
129,-36.79176859553858,130,MADDPG
130,-37.960459132475265,131,MADDPG
131,-37.34906310016197,132,MADDPG
132,-35.29489657896326,133,MADDPG
133,-34.2980728438847,134,MADDPG
134,-38.34841235833272,135,MADDPG
135,-33.36315590944991,136,MADDPG
136,-35.43752246605963,137,MADDPG
137,-35.823161830291454,138,MADDPG
138,-36.023971946844576,139,MADDPG
139,-35.71473312309125,140,MADDPG
140,-36.70955314821664,141,MADDPG
141,-35.559920275494356,142,MADDPG
142,-37.462218004995755,143,MADDPG
143,-34.99361890946549,144,MADDPG
144,-34.20412238501419,145,MADDPG
145,-35.50326815773949,146,MADDPG
146,-35.552075019089024,147,MADDPG
147,-34.869888292513274,148,MADDPG
148,-35.54860387948618,149,MADDPG
149,-35.97330594131983,150,MADDPG
150,-38.33239977675134,151,MADDPG
151,-31.815984887233796,152,MADDPG
152,-31.364161206138764,153,MADDPG
153,-35.28470575552425,154,MADDPG
154,-30.937549604740624,155,MADDPG
155,-32.17061028139407,156,MADDPG
156,-31.2748974624751,157,MADDPG
157,-34.956883171087135,158,MADDPG
158,-37.110289097917075,159,MADDPG
159,-31.06624843722465,160,MADDPG
160,-31.36944863210531,161,MADDPG
161,-40.68402066988491,162,MADDPG
162,-34.80270639698166,163,MADDPG
163,-36.950559272309576,164,MADDPG
164,-36.06724943140995,165,MADDPG
165,-30.67113511737128,166,MADDPG
166,-32.84374184819242,167,MADDPG
167,-35.86552665417037,168,MADDPG
168,-31.89845175233475,169,MADDPG
169,-33.483396880934805,170,MADDPG
170,-35.29312436770191,171,MADDPG
171,-37.8749490185787,172,MADDPG
172,-36.856496795228715,173,MADDPG
173,-39.501619462923806,174,MADDPG
174,-30.386997974478298,175,MADDPG
175,-31.092308207142697,176,MADDPG
176,-35.91856946152157,177,MADDPG
177,-37.99461895416795,178,MADDPG
178,-36.5919634230689,179,MADDPG
179,-35.521032672054915,180,MADDPG
180,-30.625258128030378,181,MADDPG
181,-33.13175110650034,182,MADDPG
182,-37.15019525332731,183,MADDPG
183,-35.5683118828627,184,MADDPG
184,-37.61538001390356,185,MADDPG
185,-30.874890991904643,186,MADDPG
186,-34.193448978985394,187,MADDPG
187,-38.72164022694774,188,MADDPG
188,-40.0691252308881,189,MADDPG
189,-34.743503828693676,190,MADDPG
190,-31.52616001436794,191,MADDPG
191,-31.720453035860658,192,MADDPG
192,-30.832603613094236,193,MADDPG
193,-34.83462374253903,194,MADDPG
194,-32.64211219680234,195,MADDPG
